scientific_name	AphiaID	Match type	ScientificName	Authority	status	AphiaID_accepted	ScientificName_accepted	Authority_accepted	Kingdom	Phylum	Class	Order	Family	Genus	Subgenus	Species	Subspecies
Vaucheria taylorii	616341	exact	Vaucheria taylorii	Blum, 1971	accepted	616341	Vaucheria taylorii	Blum, 1971	Chromista	Ochrophyta	Xanthophyceae	Vaucheriales	Vaucheriaceae	Vaucheria		taylorii	
Vaucheria frigida s.l.	555953	exact	Vaucheria frigida	(Roth) C.Agardh, 1824	accepted	555953	Vaucheria frigida	(Roth) C.Agardh, 1824	Chromista	Ochrophyta	Xanthophyceae	Vaucheriales	Vaucheriaceae	Vaucheria		frigida	
Geitlerinema amphibium	366599	exact	Geitlerinema amphibium	(C.Agardh ex Gomont) Anagnostidis, 1989	unaccepted	1313613	Anagnostidinema amphibium	(C.Agardh ex Gomont) Strunecký, Bohunická, J.R.Johansen & J.Komárek, 2017	Bacteria	Cyanobacteria	Cyanophyceae	Geitlerinematales	Geitlerinemataceae	Geitlerinema		amphibium	
Oscillatoria sancta	177518	exact	Oscillatoria sancta	Kützing ex Gomont, 1892	accepted	177518	Oscillatoria sancta	Kützing ex Gomont, 1892	Bacteria	Cyanobacteria	Cyanophyceae	Oscillatoriales	Oscillatoriaceae	Oscillatoria		sancta	
Tisochrysis sp.	836583	exact	Tisochrysis	El M.Bendif & I.Probert, 2013	accepted	836583	Tisochrysis	El M.Bendif & I.Probert, 2013	Chromista	Haptophyta	Coccolithophyceae	Isochrysidales	Isochrysidaceae	Tisochrysis			
Scrippsiella acuminata	1321853	exact	Scrippsiella acuminata	(Ehrenberg) Kretschmann, Elbrächter, Zinssmeister, S.Soehner, Kirsch, Kusber & Gottschling, 2015	accepted	1321853	Scrippsiella acuminata	(Ehrenberg) Kretschmann, Elbrächter, Zinssmeister, S.Soehner, Kirsch, Kusber & Gottschling, 2015	Chromista	Myzozoa	Dinophyceae	Peridiniales	Peridiniaceae	Scrippsiella		acuminata	
Dinophyte sp.																	
Karlodinium decipiens	531344	exact	Karlodinium decipiens	Salas & Laza-Martinez, 2008	accepted	531344	Karlodinium decipiens	Salas & Laza-Martinez, 2008	Chromista	Myzozoa	Dinophyceae	Gymnodiniales	Kareniaceae	Karlodinium		decipiens	
Prorocentrum micans	110303	exact	Prorocentrum micans	Ehrenberg, 1834	accepted	110303	Prorocentrum micans	Ehrenberg, 1834	Chromista	Myzozoa	Dinophyceae	Prorocentrales	Prorocentraceae	Prorocentrum		micans	
Dictyosphaerium sp.	178623	exact	Dictyosphaerium	Nägeli, 1849	accepted	178623	Dictyosphaerium	Nägeli, 1849	Plantae	Chlorophyta	Trebouxiophyceae	Chlorellales	Chlorellaceae	Dictyosphaerium			
Pyrocystis pseudonoctiluca	573782	exact	Pyrocystis pseudonoctiluca	Wyville-Thompson, 1876	accepted	573782	Pyrocystis pseudonoctiluca	Wyville-Thompson, 1876	Chromista	Myzozoa	Dinophyceae	Pyrocystales	Pyrocystaceae	Pyrocystis		pseudonoctiluca	
Cosmarium reniforme	578406	exact	Cosmarium reniforme	(Ralfs) W.Archer, 1874	accepted	578406	Cosmarium reniforme	(Ralfs) W.Archer, 1874	Plantae	Charophyta	Zygnematophyceae	Desmidiales	Desmidiaceae	Cosmarium		reniforme	
Desmodesmus communis	576237	exact	Desmodesmus communis	(E.Hegewald) E.Hegewald, 2000	accepted	576237	Desmodesmus communis	(E.Hegewald) E.Hegewald, 2000	Plantae	Chlorophyta	Chlorophyceae	Sphaeropleales	Scenedesmaceae	Desmodesmus		communis	
Gymnodinium sp.	109475	exact	Gymnodinium	F. Stein, 1878	accepted	109475	Gymnodinium	F. Stein, 1878	Chromista	Myzozoa	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gymnodinium			
Kremastochrysopsis sp.	601195	exact	Kremastochrysopsis	Bourrelly, 1957	accepted	601195	Kremastochrysopsis	Bourrelly, 1957	Chromista	Ochrophyta	Chrysophyceae	Chromulinales	Chrysocapsaceae	Kremastochrysopsis			
Unident. chrysophyte sp.																	
Chromulina nebulosa	610218	exact	Chromulina nebulosa	Cienkowski, 1870	accepted	610218	Chromulina nebulosa	Cienkowski, 1870	Chromista	Ochrophyta	Chrysophyceae	Chromulinales	Chromulinaceae	Chromulina		nebulosa	
Naegeliella flagellifera	610279	exact	Naegeliella flagellifera	Correns, 1883	accepted	610279	Naegeliella flagellifera	Correns, 1883	Chromista	Ochrophyta	Chrysophyceae	Chromulinales	Chrysocapsaceae	Naegeliella		flagellifera	
Chrysolepidomonas dendrolepidota	612319	exact	Chrysolepidomonas dendrolepidota	M.C.Peters & R.A.Andersen, 1993	accepted	612319	Chrysolepidomonas dendrolepidota	M.C.Peters & R.A.Andersen, 1993	Chromista	Ochrophyta	Chrysophyceae	Chromulinales	Chrysolepidomonadaceae	Chrysolepidomonas		dendrolepidota	
Chrysosaccus sp.	600905	exact	Chrysosaccus	Pascher, 1925	accepted	600905	Chrysosaccus	Pascher, 1925	Chromista	Ochrophyta	Chrysophyceae	Chrysosaccales	Chrysosaccaceae	Chrysosaccus			
Chrysosphaera sp.	577559	exact	Chrysosphaera	Pascher, 1914	accepted	577559	Chrysosphaera	Pascher, 1914	Chromista	Ochrophyta	Chrysophyceae	Chromulinales	Chrysosphaeraceae	Chrysosphaera			
Chrysocapsa flavescens	708128	exact	Chrysocapsa flavescens	Starmach, 1975	accepted	708128	Chrysocapsa flavescens	Starmach, 1975	Chromista	Ochrophyta	Chrysophyceae	Chromulinales	Chrysocapsaceae	Chrysocapsa		flavescens	
Epipyxis pulchra	627576	exact	Epipyxis pulchra	D.K.Hilliard & B.C.Asmund, 1963	accepted	627576	Epipyxis pulchra	D.K.Hilliard & B.C.Asmund, 1963	Chromista	Ochrophyta	Chrysophyceae	Chromulinales	Dinobryaceae	Epipyxis		pulchra	
Epipyxis sp.	248119	exact	Epipyxis	Ehrenberg, 1838	accepted	248119	Epipyxis	Ehrenberg, 1838	Chromista	Ochrophyta	Chrysophyceae	Chromulinales	Dinobryaceae	Epipyxis			
Epipyxis aurea	614445	exact	Epipyxis aurea	(Chodat) D.K.Hilliard, 1971	accepted	614445	Epipyxis aurea	(Chodat) D.K.Hilliard, 1971	Chromista	Ochrophyta	Chrysophyceae	Chromulinales	Dinobryaceae	Epipyxis		aurea	
Hibberdia magna	699376	exact	Hibberdia magna	(J.H.Belcher) R.A.Andersen, 1989	accepted	699376	Hibberdia magna	(J.H.Belcher) R.A.Andersen, 1989	Chromista	Ochrophyta	Chrysophyceae	Hibberdiales	Hibberdiaceae	Hibberdia		magna	
Lagynion scherffelii	610253	exact	Lagynion scherffelii	Pascher, 1912	accepted	610253	Lagynion scherffelii	Pascher, 1912	Chromista	Ochrophyta	Chrysophyceae	Hibberdiales	Stylococcaceae	Lagynion		scherffelii	
Mallomonas papillosa	610035	exact	Mallomonas papillosa	K.Harris & D.E.Bradley, 1960	accepted	610035	Mallomonas papillosa	K.Harris & D.E.Bradley, 1960	Chromista	Ochrophyta	Chrysophyceae	Synurales	Mallomonadaceae	Mallomonas		papillosa	
Mallomonas rasilis	610041	exact	Mallomonas rasilis	Dürrschmidt, 1983	accepted	610041	Mallomonas rasilis	Dürrschmidt, 1983	Chromista	Ochrophyta	Chrysophyceae	Synurales	Mallomonadaceae	Mallomonas		rasilis	
Ochromonas danica	577746	exact	Ochromonas danica	E.G.Pringsheim, 1955	unaccepted	1305802	Chlorochromonas danica	(E.G.Pringsheim) R.A.Andersen, L.Graf, Y.Malakhov & H.S.Yoon, 2017	Chromista	Ochrophyta	Chrysophyceae	Ochromonadales	Ochromonadaceae	Ochromonas		danica	
Phaeoplaca thallosa	614502	exact	Phaeoplaca thallosa	Chodat, 1926	accepted	614502	Phaeoplaca thallosa	Chodat, 1926	Chromista	Ochrophyta	Chrysophyceae	Chromulinales	Chrysothallaceae	Phaeoplaca		thallosa	
Phaeothamnion confervicola	610286	exact	Phaeothamnion confervicola	Lagerheim, 1884	accepted	610286	Phaeothamnion confervicola	Lagerheim, 1884	Chromista	Ochrophyta	Phaeothamniophyceae	Phaeothamniales	Phaeothamniaceae	Phaeothamnion		confervicola	
Synura curtispina	610052	exact	Synura curtispina	(J.B.Petersen & J.B.Hansen) Asmund, 1968	accepted	610052	Synura curtispina	(J.B.Petersen & J.B.Hansen) Asmund, 1968	Chromista	Ochrophyta	Chrysophyceae	Synurales	Mallomonadaceae	Synura		curtispina	
Synura echinulata	610053	exact	Synura echinulata	Korshikov, 1929	accepted	610053	Synura echinulata	Korshikov, 1929	Chromista	Ochrophyta	Chrysophyceae	Synurales	Mallomonadaceae	Synura		echinulata	
Synura petersenii	571647	exact	Synura petersenii	Korshikov, 1929	accepted	571647	Synura petersenii	Korshikov, 1929	Chromista	Ochrophyta	Chrysophyceae	Synurales	Mallomonadaceae	Synura		petersenii	
Synura uvella	178595	exact	Synura uvella	Ehrenberg, 1834	accepted	178595	Synura uvella	Ehrenberg, 1834	Chromista	Ochrophyta	Chrysophyceae	Synurales	Mallomonadaceae	Synura		uvella	
Chrysamoeba pyrenoidifera	616804	exact	Chrysamoeba pyrenoidifera	Korshikov, 1941	accepted	616804	Chrysamoeba pyrenoidifera	Korshikov, 1941	Chromista	Ochrophyta	Chrysophyceae	Chromulinales	Chrysamoebaceae	Chrysamoeba		pyrenoidifera	
Dinobryon sertularia	157252	exact	Dinobryon sertularia	Ehrenberg, 1834	accepted	157252	Dinobryon sertularia	Ehrenberg, 1834	Chromista	Ochrophyta	Chrysophyceae	Chromulinales	Dinobryaceae	Dinobryon		sertularia	
Dinobryon sociale var. americanum	577718	exact	Dinobryon sociale var. americanum	(Brunnthaler) Bachmann, 1911	accepted	577718	Dinobryon sociale var. americanum	(Brunnthaler) Bachmann, 1911	Chromista	Ochrophyta	Chrysophyceae	Chromulinales	Dinobryaceae	Dinobryon		sociale	
Ochromonas perlata	656225	exact	Ochromonas perlata	Doflein, 1921	accepted	656225	Ochromonas perlata	Doflein, 1921	Chromista	Ochrophyta	Chrysophyceae	Ochromonadales	Ochromonadaceae	Ochromonas		perlata	
Dinobryon sp.	157240	exact	Dinobryon	Ehrenberg, 1834	accepted	157240	Dinobryon	Ehrenberg, 1834	Chromista	Ochrophyta	Chrysophyceae	Chromulinales	Dinobryaceae	Dinobryon			
Dinobryon divergens	157248	exact	Dinobryon divergens	O.E.Imhof, 1887	accepted	157248	Dinobryon divergens	O.E.Imhof, 1887	Chromista	Ochrophyta	Chrysophyceae	Chromulinales	Dinobryaceae	Dinobryon		divergens	
Kephyrion sp.	163474	exact	Kephyrion	Pascher, 1911	accepted	163474	Kephyrion	Pascher, 1911	Chromista	Ochrophyta	Chrysophyceae	Chromulinales	Chrysococcaceae	Kephyrion			
Unident. chlorophyte sp.																	
Chrysosphaerella sp.	137284	exact	Chrysosphaerella	Lauterborn, 1896	accepted	137284	Chrysosphaerella	Lauterborn, 1896	Chromista	Ochrophyta	Chrysophyceae	Paraphysomonadales	Chrysosphaerellaceae	Chrysosphaerella			
Mallomonas annulata	610020	exact	Mallomonas annulata	(D.E.Bradley) K.Harris, 1967	accepted	610020	Mallomonas annulata	(D.E.Bradley) K.Harris, 1967	Chromista	Ochrophyta	Chrysophyceae	Synurales	Mallomonadaceae	Mallomonas		annulata	
Helicotheca tamesis	157440	exact	Helicotheca tamesis	(Shrubsole) M.Ricard, 1987	unassessed	157440	Helicotheca tamesis	(Shrubsole) M.Ricard, 1987	Chromista	Bacillariophyta	Bacillariophyceae	Lithodesmiales	Lithodesmiaceae	Helicotheca		tamesis	
Lioloma delicatulum	292728	exact	Lioloma delicatulum	(Cupp) Hasle, 1996	accepted	292728	Lioloma delicatulum	(Cupp) Hasle, 1996	Chromista	Bacillariophyta	Bacillariophyceae	Thalassionematales	Thalassionemataceae	Lioloma		delicatulum	
Entomoneis sp.	156598	exact	Entomoneis	Ehrenberg, 1845	accepted	156598	Entomoneis	Ehrenberg, 1845	Chromista	Bacillariophyta	Bacillariophyceae	Surirellales	Entomoneidaceae	Entomoneis			
Amphora sp.	149200	exact	Amphora	C.G. Ehrenberg ex F.T. Kützing, 1844	accepted	149200	Amphora	C.G. Ehrenberg ex F.T. Kützing, 1844	Chromista	Bacillariophyta	Bacillariophyceae	Thalassiophysales	Catenulaceae	Amphora			
Odontella aurita	149050	exact	Odontella aurita	(Lyngbye) C.Agardh, 1832	accepted	149050	Odontella aurita	(Lyngbye) C.Agardh, 1832	Chromista	Bacillariophyta	Bacillariophyceae	Triceratiales	Triceratiaceae	Odontella		aurita	
Barrufeta sp.	603276	exact	Barrufeta	N.Sampedro & S.Fraga, 2011	accepted	603276	Barrufeta	N.Sampedro & S.Fraga, 2011	Chromista	Myzozoa	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Barrufeta			
Pyramimonas sp.	134529	exact	Pyramimonas	Schmarda, 1849	accepted	134529	Pyramimonas	Schmarda, 1849	Plantae	Chlorophyta	Pyramimonadophyceae	Pyramimonadales	Pyramimonadaceae	Pyramimonas			
Prorocentrum donghaiense	232308	exact	Prorocentrum donghaiense	D.Lu, 2001	unaccepted	232304	Prorocentrum shikokuense	Hada, 1975	Chromista	Myzozoa	Dinophyceae	Prorocentrales	Prorocentraceae	Prorocentrum		donghaiense	
Heterocapsa pseudotriquetra	233624	exact	Heterocapsa pseudotriquetra	Iwataki, G.Hansen & Fukuyo, 2002	accepted	233624	Heterocapsa pseudotriquetra	Iwataki, G.Hansen & Fukuyo, 2002	Chromista	Myzozoa	Dinophyceae	Peridiniales	Heterocapsaceae	Heterocapsa		pseudotriquetra	
Cosmarium turpinii var. Eximium	611171	exact	Cosmarium turpinii	Brébisson, 1856	accepted	611171	Cosmarium turpinii	Brébisson, 1856	Plantae	Charophyta	Zygnematophyceae	Desmidiales	Desmidiaceae	Cosmarium		turpinii	
Pyrocystis lunula	164053	exact	Pyrocystis lunula	(Schütt) Schütt, 1896	accepted	164053	Pyrocystis lunula	(Schütt) Schütt, 1896	Chromista	Myzozoa	Dinophyceae	Pyrocystales	Pyrocystaceae	Pyrocystis		lunula	
Chromera velia	594556	exact	Chromera velia	R.B.Moore <i>et al.</i>, 2008	accepted	594556	Chromera velia	R.B.Moore <i>et al.</i>, 2008	Chromista					Chromera		velia	
Vitrella brassicaeformis	837991	near_1	Vitrella brassicaformis	Oborník <i>et al.</i>, 2012	accepted	837991	Vitrella brassicaformis	Oborník <i>et al.</i>, 2012	Protozoa					Vitrella		brassicaformis	
Phaeodactylum tricornutum	175584	exact	Phaeodactylum tricornutum	Bohlin, 1897	unassessed	175584	Phaeodactylum tricornutum	Bohlin, 1897	Chromista	Bacillariophyta	Bacillariophyceae	Naviculales	Phaeodactylaceae	Phaeodactylum		tricornutum	
Nannochloropsis oculata	376148	exact	Nannochloropsis oculata	(Droop) D.J.Hibberd, 1981	accepted	376148	Nannochloropsis oculata	(Droop) D.J.Hibberd, 1981	Chromista	Ochrophyta	Eustigmatophyceae	Eustigmatales	Monodopsidaceae	Nannochloropsis		oculata	
Thalassiosira pseudonana	148934	exact	Thalassiosira pseudonana	Hasle & Heimdal, 1970	unassessed	148934	Thalassiosira pseudonana	Hasle & Heimdal, 1970	Chromista	Bacillariophyta	Bacillariophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira		pseudonana	
Chlorococcum sp.	143946	exact	Chlorococcum	Meneghini, 1842	accepted	143946	Chlorococcum	Meneghini, 1842	Plantae	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlorococcaceae	Chlorococcum			
Pavlova gyrans	573929	exact	Pavlova gyrans	Butcher, 1952	accepted	573929	Pavlova gyrans	Butcher, 1952	Chromista	Haptophyta	Pavlovophyceae	Pavlovales	Pavlovaceae	Pavlova		gyrans	
Cryptophyceae	17639	exact	Cryptophyceae	Fritsch, 1927	accepted	17639	Cryptophyceae	Fritsch, 1927	Chromista	Cryptophyta	Cryptophyceae						
Unident. sp.																	
Thalassiosira sp.	148912	exact	Thalassiosira	P.T. Cleve, 1873 emend. Hasle, 1973	accepted	148912	Thalassiosira	P.T. Cleve, 1873 emend. Hasle, 1973	Chromista	Bacillariophyta	Bacillariophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira			
Melosira nummuloides	149044	exact	Melosira nummuloides	C.Agardh, 1824	unassessed	635472	Melosira discigera	Agardh, 1824	Chromista	Bacillariophyta	Bacillariophyceae	Melosirales	Melosiraceae	Melosira		nummuloides	
Phaeocystis globosa	160538	exact	Phaeocystis globosa	Scherffel, 1899	accepted	160538	Phaeocystis globosa	Scherffel, 1899	Chromista	Haptophyta	Coccolithophyceae	Phaeocystales	Phaeocystaceae	Phaeocystis		globosa	
Unident. diatom sp.																	
Dolichospermum circinale	699631	exact	Dolichospermum circinale	(Rabenhorst ex Bornet & Flahault) P.Wacklin, L.Hoffmann & J.Komárek, 2009	accepted	699631	Dolichospermum circinale	(Rabenhorst ex Bornet & Flahault) P.Wacklin, L.Hoffmann & J.Komárek, 2009	Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Aphanizomenonaceae	Dolichospermum		circinale	
Amphidinium sp.	109473	exact	Amphidinium	Claperède & Lachmann, 1859	accepted	109473	Amphidinium	Claperède & Lachmann, 1859	Chromista	Myzozoa	Dinophyceae	Amphidiniales	Amphidiniaceae	Amphidinium			
Heterocapsa sp.	109540	exact	Heterocapsa	Stein, 1883	accepted	109540	Heterocapsa	Stein, 1883	Chromista	Myzozoa	Dinophyceae	Peridiniales	Heterocapsaceae	Heterocapsa			
Alexandrium pseudogonyaulax	109713	exact	Alexandrium pseudogonyaulax	(Biecheler) Horiguchi ex K.Yuki & Y.Fukuyo, 1992	accepted	109713	Alexandrium pseudogonyaulax	(Biecheler) Horiguchi ex K.Yuki & Y.Fukuyo, 1992	Chromista	Myzozoa	Dinophyceae	Gonyaulacales	Ostreopsidaceae	Alexandrium		pseudogonyaulax	
Micrasterias truncata	609069	exact	Micrasterias truncata	Brébisson ex Ralfs, 1848	accepted	609069	Micrasterias truncata	Brébisson ex Ralfs, 1848	Plantae	Charophyta	Zygnematophyceae	Desmidiales	Desmidiaceae	Micrasterias		truncata	
Staurastrum sp.	162728	exact	Staurastrum	Meyen ex Ralfs, 1848	accepted	162728	Staurastrum	Meyen ex Ralfs, 1848	Plantae	Charophyta	Zygnematophyceae	Desmidiales	Desmidiaceae	Staurastrum			
Coolia sp.	109534	exact	Coolia	Meunier, 1919	accepted	109534	Coolia	Meunier, 1919	Chromista	Myzozoa	Dinophyceae	Gonyaulacales	Ostreopsidaceae	Coolia			
Nodularia spumigena	160566	exact	Nodularia spumigena	Mertens ex Bornet & Flahault, 1888	accepted	160566	Nodularia spumigena	Mertens ex Bornet & Flahault, 1888	Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Nodulariaceae	Nodularia		spumigena	
Alexandrium ostenfeldii	109712	exact	Alexandrium ostenfeldii	(Paulsen) Balech & Tangen, 1985	accepted	109712	Alexandrium ostenfeldii	(Paulsen) Balech & Tangen, 1985	Chromista	Myzozoa	Dinophyceae	Gonyaulacales	Ostreopsidaceae	Alexandrium		ostenfeldii	
Isochrysis galbana	573884	exact	Isochrysis galbana	Parke, 1949	accepted	573884	Isochrysis galbana	Parke, 1949	Chromista	Haptophyta	Coccolithophyceae	Isochrysidales	Isochrysidaceae	Isochrysis		galbana	
Ochromonas sp.	249725	exact	Ochromonas	Vysotskii [Wissotsky], 1887	accepted	249725	Ochromonas	Vysotskii [Wissotsky], 1887	Chromista	Ochrophyta	Chrysophyceae	Ochromonadales	Ochromonadaceae	Ochromonas			
Chaetoceros compressus	149129	exact	Chaetoceros compressus	Lauder, 1864	accepted	149129	Chaetoceros compressus	Lauder, 1864	Chromista	Bacillariophyta	Bacillariophyceae	Chaetocerotanae incertae sedis	Chaetocerotaceae	Chaetoceros		compressus	
Chaetoceros pseudocurvisetus	178229	exact	Chaetoceros pseudocurvisetus	Mangin, 1910	unassessed	178229	Chaetoceros pseudocurvisetus	Mangin, 1910	Chromista	Bacillariophyta	Bacillariophyceae	Chaetocerotanae incertae sedis	Chaetocerotaceae	Chaetoceros		pseudocurvisetus	
Chaetoceros debilis	149219	exact	Chaetoceros debilis	Cleve, 1894 emend Xu, Y.Li & Lundholm in Xu et al., 2020	accepted	149219	Chaetoceros debilis	Cleve, 1894 emend Xu, Y.Li & Lundholm in Xu et al., 2020	Chromista	Bacillariophyta	Bacillariophyceae	Chaetocerotanae incertae sedis	Chaetocerotaceae	Chaetoceros		debilis	
Chaetoceros sp.	148985	exact	Chaetoceros	C.G. Ehrenberg, 1844	accepted	148985	Chaetoceros	C.G. Ehrenberg, 1844	Chromista	Bacillariophyta	Bacillariophyceae	Chaetocerotanae incertae sedis	Chaetocerotaceae	Chaetoceros			
Chaetoceros diadema	149128	exact	Chaetoceros diadema	(Ehrenberg) Gran, 1897	unassessed	163042	Syndendrium diadema	Ehrenberg, 1854	Chromista	Bacillariophyta	Bacillariophyceae	Chaetocerotanae incertae sedis	Chaetocerotaceae	Chaetoceros		diadema	
Chaetoceros wighamii	160524	exact	Chaetoceros wighamii	Brightwell, 1856	accepted	160524	Chaetoceros wighamii	Brightwell, 1856	Chromista	Bacillariophyta	Bacillariophyceae	Chaetocerotanae incertae sedis	Chaetocerotaceae	Chaetoceros		wighamii	
Trachelomonas sp.	163247	exact	Trachelomonas	Ehrenberg, 1834	accepted	163247	Trachelomonas	Ehrenberg, 1834	Protozoa	Euglenozoa	Euglenoidea	Euglenida	Euglenaceae	Trachelomonas			
Odontella mobiliensis	164116	exact	Odontella mobiliensis	(J.W.Bailey) Grunow, 1884	unassessed	164116	Odontella mobiliensis	(J.W.Bailey) Grunow, 1884	Chromista	Bacillariophyta	Bacillariophyceae	Triceratiales	Triceratiaceae	Odontella		mobiliensis	
Odontella sinensis	149095	exact	Odontella sinensis	(Greville) Grunow, 1884	unassessed	148969	Biddulphia sinensis	Greville, 1866	Chromista	Bacillariophyta	Bacillariophyceae	Triceratiales	Triceratiaceae	Odontella		sinensis	
Lauderia sp.	149134	exact	Lauderia	P.T. Cleve, 1873	accepted	149134	Lauderia	P.T. Cleve, 1873	Chromista	Bacillariophyta	Bacillariophyceae	Thalassiosirales	Lauderiaceae	Lauderia			
Skeletonema sp.	149073	exact	Skeletonema	R.K. Greville, 1865	accepted	149073	Skeletonema	R.K. Greville, 1865	Chromista	Bacillariophyta	Bacillariophyceae	Thalassiosirales	Skeletonemaceae	Skeletonema			
Ochromonas gloeopara	837988	match_quarantine	Ochromonas gloeopara	Skuja, 1964	accepted	837988	Ochromonas gloeopara	Skuja, 1964	Chromista	Ochrophyta	Chrysophyceae	Ochromonadales	Ochromonadaceae	Ochromonas		gloeopara	
Ochromonas tuberculata	610282	exact	Ochromonas tuberculata	D.J.Hibberd, 1970	accepted	610282	Ochromonas tuberculata	D.J.Hibberd, 1970	Chromista	Ochrophyta	Chrysophyceae	Ochromonadales	Ochromonadaceae	Ochromonas		tuberculata	
Zygnema sp.	578376	exact	Zygnema	C.Agardh, 1817	accepted	578376	Zygnema	C.Agardh, 1817	Plantae	Charophyta	Conjugatophyceae	Zygnematales	Zygnemataceae	Zygnema			
Spirogyra sp.	577679	exact	Spirogyra	Link, 1820	accepted	577679	Spirogyra	Link, 1820	Plantae	Charophyta	Conjugatophyceae	Zygnematales	Zygnemataceae	Spirogyra			
Euglena sanguinea	163127	exact	Euglena sanguinea	Ehrenberg, 1832	accepted	163127	Euglena sanguinea	Ehrenberg, 1832	Protozoa	Euglenozoa	Euglenoidea	Euglenida	Euglenaceae	Euglena		sanguinea	
Enteromorpha sp.	144294	exact	Enteromorpha	Link, 1820	unaccepted	144296	Ulva	Linnaeus, 1753	Plantae	Chlorophyta	Ulvophyceae	Ulvales	Ulvaceae	Enteromorpha			
Kryptoperidinium foliaceum	110154	exact	Kryptoperidinium foliaceum	(F.Stein) Lindemann, 1924	accepted	110154	Kryptoperidinium foliaceum	(F.Stein) Lindemann, 1924	Chromista	Myzozoa	Dinophyceae	Peridiniales	Peridiniaceae	Kryptoperidinium		foliaceum	
Rhodomonas salina	106316	exact	Rhodomonas salina	(Wislouch) D.R.A.Hill & R.Wetherbee, 1989	accepted	106316	Rhodomonas salina	(Wislouch) D.R.A.Hill & R.Wetherbee, 1989	Chromista	Cryptophyta	Cryptophyceae	Pyrenomonadales	Pyrenomonadaceae	Rhodomonas		salina	
Storeatula sp.	573984	exact	Storeatula	Hill, 1991	accepted	573984	Storeatula	Hill, 1991	Chromista	Cryptophyta	Cryptophyceae	Pyrenomonadales	Pyrenomonadaceae	Storeatula			
Ectocarpus flagelliformis	145405	exact	Ectocarpus flagelliformis	Kützing, 1843	accepted	145405	Ectocarpus flagelliformis	Kützing, 1843	Chromista	Ochrophyta	Phaeophyceae	Ectocarpales	Ectocarpaceae	Ectocarpus		flagelliformis	
Volvox globator	608656	exact	Volvox globator	Linnaeus, 1758	accepted	608656	Volvox globator	Linnaeus, 1758	Plantae	Chlorophyta	Chlorophyceae	Chlamydomonadales	Volvocaceae	Volvox		globator	
Euastrum verrucosum var. alpinum	674290	exact	Euastrum verrucosum var. alpinum	(Huber-Pestalozzi) Willi Krieger, 1937	accepted	674290	Euastrum verrucosum var. alpinum	(Huber-Pestalozzi) Willi Krieger, 1937	Plantae	Charophyta	Zygnematophyceae	Desmidiales	Desmidiaceae	Euastrum		verrucosum	
Pleurotaenium trabecula	548369	exact	Pleurotaenium trabecula	Nägeli, 1849	accepted	548369	Pleurotaenium trabecula	Nägeli, 1849	Plantae	Charophyta	Zygnematophyceae	Desmidiales	Desmidiaceae	Pleurotaenium		trabecula	
Micrasterias papillifera	609058	exact	Micrasterias papillifera	Brébisson ex Ralfs, 1848	accepted	609058	Micrasterias papillifera	Brébisson ex Ralfs, 1848	Plantae	Charophyta	Zygnematophyceae	Desmidiales	Desmidiaceae	Micrasterias		papillifera	
Pentapharsodinium dalei	109925	exact	Pentapharsodinium dalei	Indelicato & Loeblich III, 1986	accepted	109925	Pentapharsodinium dalei	Indelicato & Loeblich III, 1986	Chromista	Myzozoa	Dinophyceae	Peridiniales	Peridiniaceae	Pentapharsodinium		dalei	
Attheya longicornis	464444	exact	Attheya longicornis	R.M.Crawford & C.Gardner, 1994	unassessed	464444	Attheya longicornis	R.M.Crawford & C.Gardner, 1994	Chromista	Bacillariophyta	Bacillariophyceae	Chaetocerotanae incertae sedis	Attheyaceae	Attheya		longicornis	
Parvodinium centenniale	841290	exact	Parvodinium centenniale	(Playfair) Carty, 2008	accepted	841290	Parvodinium centenniale	(Playfair) Carty, 2008	Chromista	Myzozoa	Dinophyceae	Peridiniales	Peridiniaceae	Parvodinium		centenniale	
Euastrum oblongum	611205	exact	Euastrum oblongum	Ralfs, 1848	accepted	611205	Euastrum oblongum	Ralfs, 1848	Plantae	Charophyta	Zygnematophyceae	Desmidiales	Desmidiaceae	Euastrum		oblongum	
Heterosigma sp.	160584	exact	Heterosigma	Y.Hada ex Y.Hara & M.Chihara, 1987	accepted	160584	Heterosigma	Y.Hada ex Y.Hara & M.Chihara, 1987	Chromista	Ochrophyta	Raphidophyceae	Chattonellales	Chattonellaceae	Heterosigma			
Gymnodinium aureolum	232716	exact	Gymnodinium aureolum	(E.M.Hulburt) Gert Hansen, 2000	accepted	232716	Gymnodinium aureolum	(E.M.Hulburt) Gert Hansen, 2000	Chromista	Myzozoa	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gymnodinium		aureolum	
